EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
Thunderstorm Wind,C,137,STEPHENS,,22-APR-55 20:36:00,CST,22-APR-55 20:36:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,34.50,-97.90,,
Hail,C,17,CANADIAN,,22-APR-55 22:15:00,CST,22-APR-55 22:15:00,0,0,0,0,0,0,,.00,,,,,0,0,,,,,0,,,0,,,35.50,-97.68,,
Tornado,C,103,NOBLE,,22-APR-55 22:30:00,CST,22-APR-55 22:30:00,0,0,0,0,.25K,0,,0,,,,F2,0,33,,,,,0,,,0,,,36.43,-97.30,,
Hail,C,117,PAWNEE,,14-MAR-55 18:45:00,CST,14-MAR-55 18:45:00,0,0,0,0,0,0,,1.00,,,,,0,0,,,,,0,,,0,,,36.28,-96.50,,
Hail,C,143,TULSA,,14-MAR-55 20:30:00,CST,14-MAR-55 20:30:00,0,0,0,0,0,0,,1.00,,,,,0,0,,,,,0,,,0,,,36.28,-95.90,,
Hail,C,91,MCINTOSH,,04-APR-55 01:20:00,CST,04-APR-55 01:20:00,0,0,0,0,0,0,,1.00,,,,,0,0,,,,,0,,,0,,,35.50,-95.50,,
Tornado,C,137,STEPHENS,,11-APR-55 21:30:00,CST,11-APR-55 21:30:00,0,0,0,0,2.5K,0,,0,,,,F0,2,33,,,,,0,,,0,,,34.37,-97.92,,
Tornado,C,137,STEPHENS,,11-APR-55 21:30:00,CST,11-APR-55 21:30:00,0,0,0,0,2.5K,0,,0,,,,F0,15,33,,,,,0,,,0,,,34.00,-97.87,,
Hail,C,41,HILL,,05-JUL-55 15:00:00,CST,05-JUL-55 15:00:00,0,0,0,0,0,0,,.75,,,,,0,0,,,,,0,,,0,,,48.50,-110.40,,
Hail,C,111,YELLOWSTONE,,06-JUL-55 15:10:00,CST,06-JUL-55 15:10:00,0,0,0,0,0,0,,3.00,,,,,0,0,,,,,0,,,0,,,45.78,-108.50,,
Tornado,C,111,YELLOWSTONE,,06-JUL-55 15:30:00,CST,06-JUL-55 15:30:00,0,0,0,0,25K,0,,0,,,,,2,50,,,,,0,,,0,,,45.88,-108.30,,
Tornado,C,103,TREASURE,,06-JUL-55 17:30:00,CST,06-JUL-55 17:30:00,0,0,0,0,2.5K,0,,0,,,,F1,2,73,,,,,0,,,0,,,46.23,-107.27,,
Hail,C,65,MUSSELSHELL,,06-JUL-55 18:15:00,CST,06-JUL-55 18:15:00,0,0,0,0,0,0,,2.00,,,,,0,0,,,,,0,,,0,,,46.58,-108.50,,
Tornado,C,79,PRAIRIE,,06-JUL-55 21:15:00,CST,06-JUL-55 21:15:00,0,0,0,0,25K,0,,0,,,,F1,0,1000,,,,,0,,,0,,,46.77,-105.32,,
Hail,C,111,YELLOWSTONE,,09-JUL-55 21:10:00,CST,09-JUL-55 21:10:00,0,0,0,0,0,0,,.75,,,,,0,0,,,,,0,,,0,,,45.78,-108.50,,
Thunderstorm Wind,C,13,CASCADE,,18-JUL-55 19:30:00,CST,18-JUL-55 19:30:00,0,0,0,0,0,0,,60,,,,,0,0,,,,,0,,,0,,,47.50,-111.18,,
Hail,C,49,LEWIS AND CLARK,,25-JUL-55 14:15:00,CST,25-JUL-55 14:15:00,0,0,0,0,0,0,,.75,,,,,0,0,,,,,0,,,0,,,46.70,-111.68,,
Hail,C,45,JUDITH BASIN,,25-JUL-55 17:00:00,CST,25-JUL-55 17:00:00,0,0,0,0,0,0,,.75,,,,,0,0,,,,,0,,,0,,,47.00,-109.90,,
Hail,C,67,PARK,,15-AUG-55 14:37:00,CST,15-AUG-55 14:37:00,0,0,0,0,0,0,,.00,,,,,0,0,,,,,0,,,0,,,45.70,-110.58,,
Tornado,C,163,SHERMAN,,08-JUL-55 02:10:00,CST,08-JUL-55 02:10:00,13,0,1,0,250K,0,,0,,,,F2,24,33,,,,,0,,,0,,,41.28,-99.20,41.28,-98.73
Tornado,C,93,HOWARD,,08-JUL-55 02:35:00,CST,08-JUL-55 02:35:00,0,0,0,0,250K,0,,0,,,,F2,7.2,33,,,,,0,,,0,,,41.28,-98.73,41.28,-98.58
