EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
Tornado,C,53,SOCORRO,,02-AUG-50 12:30:00,CST,02-AUG-50 12:30:00,0,0,0,0,25K,0,,0,,,,F1,7.9,100,,,,,0,,,0,,,34.12,-107.23,34.02,-107.30
Tornado,C,63,JEFFERSON,,01-MAY-50 05:00:00,CST,01-MAY-50 05:00:00,0,0,0,0,25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,31.73,-91.07,,
Tornado,C,1,ADAMS,,01-MAY-50 09:00:00,CST,01-MAY-50 09:00:00,0,0,0,0,25K,0,,0,,,,,0,33,,,,,0,,,0,,,31.55,-91.38,,
Tornado,C,7,ATTALA,,03-JUN-50 01:00:00,CST,03-JUN-50 01:00:00,1,0,2,0,0K,0,,0,,,,F3,2,50,,,,,0,,,0,,,33.08,-89.58,,
Tornado,C,53,GRANT,,12-FEB-50 12:30:00,CST,12-FEB-50 12:30:00,0,0,0,0,2.5K,0,,0,,,,F2,0,100,,,,,0,,,0,,,34.48,-92.40,,
Tornado,C,139,UNION,,12-FEB-50 15:00:00,CST,12-FEB-50 15:00:00,0,0,0,0,25K,0,,0,,,,F2,5.7,100,,,,,0,,,0,,,33.27,-92.95,33.35,-92.95
Tornado,C,19,CLARK,,26-MAR-50 19:30:00,CST,26-MAR-50 19:30:00,3,0,0,0,25K,0,,0,,,,F2,4.1,150,,,,,0,,,0,,,34.12,-93.07,34.17,-93.03
Tornado,C,189,ST. LOUIS,,03-JAN-50 11:00:00,CST,03-JAN-50 11:00:00,3,0,0,0,2.5M,0,,0,,,,F3,6.2,150,,,,,0,,,0,,,38.77,-90.22,38.82,-90.12
Tornado,C,169,PULASKI,,09-JUN-50 13:00:00,CST,09-JUN-50 13:00:00,0,0,0,0,2.5K,0,,0,,,,F1,2.7,220,,,,,0,,,0,,,38.00,-92.22,38.02,-92.17
Tornado,C,205,SHELBY,,15-JUN-50 01:00:00,CST,15-JUN-50 01:00:00,0,0,0,0,2.5K,0,,0,,,,F1,.2,100,,,,,0,,,0,,,39.70,-92.07,,
Tornado,C,141,MORGAN,,19-JUL-50 16:00:00,CST,19-JUL-50 16:00:00,0,0,0,0,.25K,0,,0,,,,F1,1.5,440,,,,,0,,,0,,,38.42,-92.77,,
Tornado,C,53,HUMPHREYS,,27-MAR-50 05:00:00,CST,27-MAR-50 05:00:00,2,0,1,0,0K,0,,0,,,,F2,0,33,,,,,0,,,0,,,33.17,-90.55,,
Tornado,C,7,ATTALA,,27-MAR-50 07:30:00,CST,27-MAR-50 07:30:00,0,0,0,0,0K,0,,0,,,,F2,11.9,33,,,,,0,,,0,,,33.13,-89.57,33.25,-89.42
Tornado,C,49,HINDS,,27-MAR-50 07:45:00,CST,27-MAR-50 07:45:00,7,0,0,0,250K,0,,0,,,,F2,9,50,,,,,0,,,0,,,32.28,-90.27,32.30,-90.12
Tornado,C,49,HINDS,,27-MAR-50 07:45:00,CST,27-MAR-50 07:45:00,6,0,0,0,250K,0,,0,,,,F2,6.2,50,,,,,0,,,0,,,32.28,-90.27,32.30,-90.17
Tornado,C,123,PONTOTOC,,09-MAY-50 20:20:00,CST,09-MAY-50 20:20:00,0,0,0,0,25K,0,,0,,,,F1,.8,200,,,,,0,,,0,,,34.77,-96.83,,
Tornado,C,7,BEAVER,,11-MAY-50 18:30:00,CST,11-MAY-50 18:30:00,0,0,0,0,.25K,0,,0,,,,F1,.5,77,,,,,0,,,0,,,36.82,-100.52,,
Tornado,C,43,DEWEY,,16-MAY-50 19:30:00,CST,16-MAY-50 19:30:00,1,0,0,0,2.5K,0,,0,,,,F1,7.3,100,,,,,0,,,0,,,35.82,-99.12,35.87,-99.00
Tornado,C,39,CUSTER,,22-MAY-50 12:39:00,CST,22-MAY-50 12:39:00,0,0,0,0,0K,0,,0,,,,F1,1.5,100,,,,,0,,,0,,,35.67,-99.23,,
Tornado,C,153,WOODWARD,,24-MAY-50 21:30:00,CST,24-MAY-50 21:30:00,2,0,0,0,25K,0,,0,,,,F2,1,33,,,,,0,,,0,,,36.45,-99.03,,
Tornado,C,97,MAYES,,29-MAY-50 14:48:00,CST,29-MAY-50 14:48:00,0,0,0,0,.25K,0,,0,,,,F1,1,33,,,,,0,,,0,,,36.38,-95.27,,
Tornado,C,71,KAY,,09-JUN-50 18:25:00,CST,09-JUN-50 18:25:00,0,0,0,0,2.5K,0,,0,,,,F1,0,100,,,,,0,,,0,,,36.80,-97.25,,
